id,name,latitude,longitude,neighbourhood_cleansed,city,property_type,room_type,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
25417416,Lorena's House,35.527809999999995,-82.6168,28806,Asheville,Apartment,Entire home/apt,3,2.0,178.0,2018-05-27,f,1,2,11,96.0,t,moderate
25418819,Tiny Home at the Gardens—Near Center of Asheville,35.55198,-82.50394,28803,Asheville,Tiny house,Entire home/apt,0,1.0,80.0,2016-05-08,t,2,2,127,100.0,f,moderate
25422541,West Asheville Private Studio Apartment,35.58083,-82.60996,28806,Asheville,Guest suite,Entire home/apt,1,1.0,88.0,2018-05-27,t,1,2,61,97.0,t,moderate
25456908,Quiet Pet friendly house West Asheville,35.5541,-82.63418,28806,Asheville,House,Entire home/apt,2,2.5,155.0,2018-05-28,f,4,3,5,100.0,t,moderate
25471043,Boho-Chic Apartment One Mile from Downtown Asheville,35.606429999999996,-82.54457,28801,Asheville,Guest suite,Entire home/apt,1,1.0,99.0,2017-07-13,t,2,2,151,99.0,f,strict_14_with_grace_period
25474000,Twin beds in fabulous home with chef's kitchen,35.59929,-82.48338000000001,28805,Asheville,House,Private room,1,1.0,75.0,2014-08-25,t,1,2,9,100.0,t,moderate
25479162,Modern Design Studio Apt / 8 mins  to DWTN AVL,35.56329,-82.51134,28803,Asheville,Guest suite,Entire home/apt,0,1.0,85.0,2018-03-03,t,2,2,84,98.0,t,moderate
25518066,Cave Creek Hideaway,35.472640000000006,-82.56393,28704,Arden,House,Entire home/apt,3,1.0,144.0,2014-02-19,t,5,2,94,98.0,t,moderate
25519478,Eclectic Industrial Apartment in Historical Building,35.59751,-82.55339000000001,28801,Asheville,Apartment,Entire home/apt,1,1.0,220.0,2018-03-30,t,1,3,60,100.0,t,strict_14_with_grace_period
25519626,Industrial Chic Meets the Old World in Downtown Asheville,35.59751,-82.55339000000001,28801,Asheville,Apartment,Entire home/apt,1,1.0,220.0,2018-03-30,t,1,3,64,99.0,t,strict_14_with_grace_period
25574558,Private 2nd story space in Asheville,35.56727,-82.52199,28803,Asheville,House,Private room,1,1.0,75.0,2018-06-01,t,1,1,36,99.0,t,moderate
